vi,en
Các lệnh `gacha`:,`gacha` commands:
- `{0}gacha help`: Hiện cái đoạn hướng dẫn này.,- `{0}gacha help`: Show this thing.
- `{0}gacha docs`: Tài liệu game.,- `{0}gacha docs`: Game's document.
- `{0}gacha newplayer`: Nhận quà tân thủ (chỉ một lần).,- `{0}gacha newplayer`: Claim starter pack (only one time).
- `{0}gacha daily`: Điểm danh hàng ngày nhận 100 BachNob Credit.,- `{0}gacha daily`: Daily attendance to receive 100 BachNob Credit.
- `{0}gacha roll [số lần roll]`: Quay thẻ ngẫu nhiên. 100 BachNob Credit/ 1 lần quay.,- `{0}gacha roll [time]`: Get a random card. 100 BachNob Credit/ 1 roll.
"- `{0}gacha supraroll [số lần roll]`: Quay thẻ ngẫu nhiên, nhưng vjp hơn. 1 BachNob Guarantee/ 1 lần quay.","- `{0}gacha supraroll [time]`: Get a random card, but better. 1 BachNob Guarantee/ 1 roll."
- `{0}gacha rps <số BachNob Credit cược> <bài>`: Chơi oẳn tù tì.,- `{0}gacha rps <bet BachNob Credit> <card>`: Play rock paper scissors.
- `{0}gacha show [người dùng]`: Hiện các thẻ bài hiện có.,- `{0}gacha show [user]`: Show user's own cards.
- `{0}gacha userinfo [người dùng]`: Hiện thông tin người dùng.,- `{0}gacha userinfo [user]`: Show user's infomations.
- `{0}gacha lb`: Hiện bảng xếp hạng.,- `{0}gacha lb`: Show leaderboard.
- `{0}gacha give <người nhận> <số BachNob Credit>`: Chuyển BachNob Credit cho người khác.,- `{0}gacha give <receiver> <amount>`: Give BachNob Credit to someone.
- `{0}gacha transform <thẻ>`: Biến đổi thẻ nào đó thành 25 BachNob Credit.,- `{0}gacha transform <card>`: Transform a card into 25 BachNob Credit.
