string_id,vi,en
count_result,Số lần **{0}** đã **gvs** trong **{1}**: {2},**{0}** has **gvs** in **{1}** **{2}** times
zero_gvs,Bạn chưa **gvs** lần nào 😳,You have never **gvs** 😳
empty_leaderboard,Hiện tại chưa có ai trên bảng xếp hạng,There is currently no one on the leaderboard
leaderboard_embed_title,Bảng xếp hạng **gvs** cho **{0}**,**gvs** leaderboard for **{0}**
command_help,Các lệnh `{0}gvs`:#- `{0}gvs count [id người dùng]` hoặc `/gvs_count [id người dùng]`: Hiện số lần đã **gvs** của ai đó.#- `{0}gvs lb` hoặc `/gvs_leaderboard`: Bảng xếp hạng **gvs**.#- `/gvs_react [id tin nhắn]`: *gvs* một tin nhắn nào đó.,`{0}gvs` commands:#- `{0}gvs count [user id]` or `/gvs_count [user id]`: Shows the number of times you or someone have **gvs**.#- `{0}gvs lb` or `/gvs_leaderboard`: Show **gvs** leaderboard.#- `/gvs_react [message id]`: *gvs* a message.
not_supported,**gvs** không được hỗ trợ ở đây!,**gvs** is not supported here!
react_command_response_success,Đã *gvs* tin nhắn đó thành công!,*gvs* succeed!
react_command_response_invalid_id,"Id tin nhắn không hợp lệ, hoặc không thể gvs ở đây!","Invalid message id, or you cant gvs here!"
gvs_cmd_desc,Gke vay sao,
gvs_cmd_usage,"Lệnh này chỉ có các lệnh con, xem hướng dẫn của lệnh con để biết thêm chi tiết",
gvs_count_cmd_desc,Xem số lần gvs của bạn hoặc ai đó,
gvs_count_cmd_usage,Dùng lệnh này để xem số lần đã gvs của bạn hoặc của ai đó,
gvs_count_param_user_desc,Người bạn muốn xem số lần đã gvs,
gvs_lb_cmd_desc,Bảng xếp hạng gvs,
gvs_lb_cmd_usage,Hiện bảng xếp hạng gvs,
gvs_react_cmd_desc,Gke vay sao một tin nhắn nào đó,
gvs_react_cmd_usage,Dùng lệnh này để gvs một tin nhắn nào đó,
gvs_react_param_message_id_desc,"ID của tin nhắn bạn muốn gvs. Nếu không cung cấp, bot sẽ gvs tin nhắn gần nhất.",
